Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Titel.1,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km
"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_wehr_15237-B_pctmp.jpg,1908,,helveticarchives.org,Jean Gaberell,https://commons.wikimedia.org/entity/M144729177,"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,1908,Jean Gaberell,,Switzerland,Kanton Graubünden,Pontresina,46.4906964,9.8963981,4,False,1,0.61
"St. Moritz, Bahnhof und Hotel La Margna, Gesamtaussenansicht","Bahnhofplatz mit Dampflokomotive, Kutschen ('Hoteltaxis') und Hotel La Margna",46.4978958,9.8392428,Nein,St. Moritz,lcmt-nabi-pctmp_ead_wehr_15233-B_pctmp.jpg,1908,,helveticarchives.org,Jean Gaberell,https://commons.wikimedia.org/entity/M144728975,"St. Moritz, Bahnhof und Hotel La Margna","Bahnhofplatz mit Dampflokomotive, Kutschen ('Hoteltaxis') und Hotel La Margna",1908,Jean Gaberell,,Switzerland,Kanton Graubünden,St. Moritz,46.4987087,9.8459869,4,False,1,0.52
"Thusis, Viamala-Schlucht, Landschaft","Sils im Domleschg GR. Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999)",46.6972368,9.4390836,Nein,Thusis,lcmt-nabi-pctmp_ead_zing_10000_pctmp.jpg,circa 1890,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159026677,"Thusis, Viamala-Schlucht, Landschaft","Sils im Domleschg GR. Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999)",,,,Switzerland,Kanton Graubünden,Thusis,46.662043,9.448247,4,False,1,3.98
"Italia, Bormio, Ortsteilansicht","Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen; an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)",46.4692482,10.3721712,Nein,Bormio,lcmt-nabi-pctmp_ead_zing_10045_pctmp.jpg,circa 1900,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159028367,"Italia, Bormio, Ortsteilansicht","Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen; an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)",1900,Rudolf Zinggeler,,Italy,Lombardia,Bormio,46.46717,10.37008,3,True,0,0.28
"Passo dello Stelvio, Landschaft","Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien; Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien",46.5424387,10.5578294,Nein,Stelvio,lcmt-nabi-pctmp_ead_zing_10046_pctmp.jpg,circa 1900,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159028405,"Passo dello Stelvio, Landschaft","Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien; Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien",1900,Rudolf Zinggeler,,Italy,Trentino-Alto Adige,Stelvio,46.5333,10.45,5,False,0,8.31
"Passo dello Stelvio, Panorama","Stelvio, Italien. Hochgebirgslandschaft mit schroffem Bergkegel und grösserem Gletscherfeld: Motatsch",46.5424387,10.5578294,Nein,Stelvio,lcmt-nabi-pctmp_ead_zing_10047_pctmp.jpg,circa 1900,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159028443,"Passo dello Stelvio, Panorama","Stelvio, Italien. Hochgebirgslandschaft mit schroffem Bergkegel und grösserem Gletscherfeld: Motatsch",1900,Rudolf Zinggeler,,Italy,Trentino-Alto Adige,Stelvio,46.5333,10.45,5,False,0,8.31
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft aus dem Tourengebiet von Sta. Maria: Bergzacken und Schnee- und Eisfelder in der Ortlergruppe, gesehen vom Stilfserjoche aus",,,Nein,,lcmt-nabi-pctmp_ead_zing_11165_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267831,"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft aus dem Tourengebiet von Sta. Maria: Bergzacken und Schnee- und Eisfelder in der Ortlergruppe, gesehen vom Stilfserjoche aus",1890-1936,Rudolf Zinggeler,,Switzerland,,Santa Maria Val Müstair,46.5090956,10.5449304,4,False,1,
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: die Ortlergruppe, gesehen vom Stilfserjoche aus.",,,Nein,,lcmt-nabi-pctmp_ead_zing_11166_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267859,"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: die Ortlergruppe, gesehen vom Stilfserjoche aus.",1890-1936,Rudolf Zinggeler,,Switzerland,,Santa Maria Val Müstair,46.5090956,10.5449304,4,False,1,
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: Berghaupt, Gletscher und Schneefelder in der südlichen Nachbarschaft des Ortler",,,Nein,,lcmt-nabi-pctmp_ead_zing_11168_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267940,"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: Berghaupt, Gletscher und Schneefelder in der südlichen Nachbarschaft des Ortler",1890-1936,Rudolf Zinggeler,,Switzerland,,Santa Maria Val Müstair,46.5090956,10.5449304,4,False,1,
"Porträt, Männliche Person, Engadin","Schweiz. Alter Mann mit Stock, vor einem Haus auf Bank sitzend, Pfeife rauchend",,,Nein,,lcmt-nabi-pctmp_ead_zing_11190_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268999,"Porträt, Männliche Person, Engadin","Schweiz. Alter Mann mit Stock, vor einem Haus auf Bank sitzend, Pfeife rauchend",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,47.657323,11.5233058,Nein,Finstermünz,lcmt-nabi-pctmp_ead_zing_11559_pctmp.jpg,1917,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162340481,"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,1917,Rudolf Zinggeler,,Austria,,Finstermünz,,,0,False,0,
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,47.657323,11.5233058,Nein,Finstermünz,lcmt-nabi-pctmp_ead_zing_11560_pctmp.jpg,1917,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162340574,"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,1917,Rudolf Zinggeler,,Austria,,Finstermünz,,,0,False,0,
"Puria (IT), Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",46.032034,9.0562556,Nein,Puria,lcmt-nabi-pctmp_ead_zing_12082_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737107,"Puria (IT), Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Puria,46.0324,9.05694,3,True,0,0.07
"Puria (IT), Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",46.032034,9.0562556,Nein,Puria,lcmt-nabi-pctmp_ead_zing_12083_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737125,"Puria (IT), Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Puria,46.0324,9.05694,3,True,0,0.07
"Cressogno (IT), Chiesa San Nicolao, Teilaussenansicht","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",46.0247294,9.0727473,Nein,Cressogno,lcmt-nabi-pctmp_ead_zing_12084_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737140,"Cressogno (IT), Chiesa San Nicolao","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",1890-1936,Rudolf Zinggeler,,Italy,Lombardia,Cressogno,46.02426,9.07102,3,True,0,0.14
"Castello (IT), Ortschaft, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",44.9515624,9.2536443,Nein,Castello,lcmt-nabi-pctmp_ead_zing_12085_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162737158,"Castello (IT), Ortschaft, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",1890-1936,Rudolf Zinggeler,,Italy,Friuli Venezia Giulia,Castello,45.9498,8.67566,3,True,0,119.81
"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12140_pctmp.jpg,1933,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738441,"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13
"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12153_pctmp.jpg,1933,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738511,"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13
"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12155_pctmp.jpg,1933,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738537,"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12161_pctmp.jpg,1933,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738588,"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",46.2020983,8.6224134,Nein,Russo,lcmt-nabi-pctmp_ead_zing_12162_pctmp.jpg,1933,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162738625,"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",1933,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0,0.13
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,46.3169604,8.6018223,Nein,Cevio,lcmt-nabi-pctmp_ead_zing_12198_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162740607,"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0,0.27
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,46.3169604,8.6018223,Nein,Cevio,lcmt-nabi-pctmp_ead_zing_12199_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162740627,"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0,0.27
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12207_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741063,"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12208_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741088,"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15
"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,46.3397342,8.6085558,Nein,Bignasco,lcmt-nabi-pctmp_ead_zing_12210_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741108,"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0,0.15
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12213_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741186,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02
"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12215_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741212,"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12216_pctmp.jpg,1932,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741229,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",1932,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0,0.02
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",46.3451674,8.6072509,Nein,Cavergno,lcmt-nabi-pctmp_ead_zing_12232_pctmp.jpg,1931,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162741540,"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Fröhlich lachender Knabe (12-13 Jahre?) in Werktagstenue, auf Wegmauer sitzend, aus dem Weiler Mondada",1931,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Cavergno,46.35638,8.58472,5,False,0,2.13
"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",46.2963757,8.7908609,Nein,Brione (Verzasca),lcmt-nabi-pctmp_ead_zing_12283_pctmp.jpg,1934,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162742629,"Porträt, Kind, Brione (Verzasca)","Brione (Verzasca) TI. Menschliches. Junges Mädchen (14-15 Jahre, Bauernkind), auf Steintreppe sitzend",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Brione (Verzasca),46.29525,8.79173,3,True,0,0.14
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12295_pctmp.jpg,1934,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162747750,"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (ca. 10 Jahre) mit weissblondem Haar,1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83
"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12318_pctmp.jpg,1934,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162748621,"Porträt, Kind, Frasco",Frasco TI. Menschliches. Kleines Mädchen (9-10 Jahre) in Kopftuch und Werktagsschürze vor dem Tenntor sitzend,1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83
"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",46.3377617,8.804355,Nein,Frasco,lcmt-nabi-pctmp_ead_zing_12337_pctmp.jpg,1934,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162748722,"Porträt, Weibliche Person, Frasco","Frasco TI. Junges Mädchen (16-17 Jahre), eine Tochter Ferini; Porträt vor dunklem Hintergrund. Aufnahme 1934.",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,0.83
"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen beschäftigt in einem Winkel zwischen Hauswand und Treppengemäuer",,,Nein,,lcmt-nabi-pctmp_ead_zing_12365_pctmp.jpg,1934,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162749395,"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen beschäftigt in einem Winkel zwischen Hauswand und Treppengemäuer",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,
"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen am Werk",,,Nein,,lcmt-nabi-pctmp_ead_zing_12366_pctmp.jpg,1934,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162749423,"Frasco, Ortsteilansicht","Frasco TI. Mensch, Arbeit. Zwei Männer mit Sägefeilen am Werk",1934,Rudolf Zinggeler,,Switzerland,Cantone Ticino,Frasco,46.34398,8.7984,3,True,0,
"Schweiz, Gesamtaussenansicht einer Kapelle [Lokalisierung unsicher]","Schweiz. Die Kapelle zwischen einem Stall und einem Speicher; davor Weg und Zäune, Wiesenfläche. Aufnahme 1921.",,,Nein,,lcmt-nabi-pctmp_ead_zing_12415_pctmp.jpg,1921,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162751051,"Schweiz, Gesamtaussenansicht einer Kapelle","Schweiz. Die Kapelle zwischen einem Stall und einem Speicher; davor Weg und Zäune, Wiesenfläche. Aufnahme 1921.",1921,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,
"Porträt, Männliche Person, Schweiz","Schweiz. Menschliches. Alter Herr (Professor?) in grauem Jaquetkleid, vor Hausecke an Treppe stehend",,,Nein,,lcmt-nabi-pctmp_ead_zing_12428_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162751300,"Porträt, Männliche Person, Schweiz","Schweiz. Menschliches. Alter Herr (Professor?) in grauem Jaquetkleid, vor Hausecke an Treppe stehend",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,
"Porträt, Weibliche Person, Evolène","Evolène VS. Trachtenwesen. Junge Frau in der Evolènertracht, mit Strickzeug auf Haustreppe sitzend",46.1129048,7.4958022,Nein,Evolène,lcmt-nabi-pctmp_ead_zing_12473_pctmp.jpg,1922,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162755678,"Porträt, Weibliche Person, Evolène","Evolène VS. Trachtenwesen. Junge Frau in der Evolènertracht, mit Strickzeug auf Haustreppe sitzend",1922,Rudolf Zinggeler,,Switzerland,Canton du Valais,Evolène,46.11422,7.49407,3,True,0,0.2
"Porträt, Kind, Evolène",Evolène VS. Menschliches. Zwölfjähriger Bauern- und Hirtenbub; Brustbild von vorn,46.1129048,7.4958022,Nein,Evolène,lcmt-nabi-pctmp_ead_zing_12480_pctmp.jpg,1922,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162756094,"Porträt, Kind, Evolène",Evolène VS. Menschliches. Zwölfjähriger Bauern- und Hirtenbub; Brustbild von vorn,1922,Rudolf Zinggeler,,Switzerland,Canton du Valais,Evolène,46.11422,7.49407,3,True,0,0.2
"Schweiz, Gesamtaussenansicht eines Hauses [Lokalisierung unsicher]","Schweiz. Landschaft, Einzelbau. Stattliches Bauernhaus, von Wiesengelände umgeben",,,Nein,,lcmt-nabi-pctmp_ead_zing_12780_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M163011117,"Schweiz, Gesamtaussenansicht eines Hauses","Schweiz. Landschaft, Einzelbau. Stattliches Bauernhaus, von Wiesengelände umgeben",1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,
"Schweiz, Landschaft [Lokalisierung unsicher]",Schweiz. Landschaft. Weiher und Wiesenstreifen am Ufer und Baumreihe,,,Nein,,lcmt-nabi-pctmp_ead_zing_12789_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M163011717,"Schweiz, Landschaft",Schweiz. Landschaft. Weiher und Wiesenstreifen am Ufer und Baumreihe,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,
"Rüti, Zürcher Oberland, Ortsteilansicht mit 4 Bürgerhäusern an der Sonnenbergstrasse (links)","Rüti, Blick nach Südosten auf die Glarner (Vor-)Alpen. Links über der Mitte: Glarner und Schwyzer Voralpenkette zwischen Planggenstock und Stockberg; links hinter dem Wald: Mürtschenstock; rechts der Mitte: Wägital",,,Nein,,lcmt-nabi-pctmp_ead_zing_12954_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M163018355,"Rüti, Zürcher Oberland, Ortsteilansicht","Rüti, Blick nach Südosten auf die Glarner (Vor-)Alpen. Links über der Mitte: Glarner und Schwyzer Voralpenkette zwischen Planggenstock und Stockberg; links hinter dem Wald: Mürtschenstock; rechts der Mitte: Wägital",1890-1936,,,Switzerland,Kanton Glarus,Rüti,46.93779,9.01695,3,True,0,
"Porträt, Männliche Person, Schweiz",Schweiz. Sonntagsfreuden. Drei Herren in einem kleinen Boot startbereit,,,Nein,,lcmt-nabi-pctmp_ead_zing_13106_pctmp.jpg,1890-1936,,helveticarchives.org,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M163023584,"Porträt, Männliche Person, Schweiz",Schweiz. Sonntagsfreuden. Drei Herren in einem kleinen Boot startbereit,1890-1936,Rudolf Zinggeler,,Switzerland,,,,,0,False,0,
